,Volcano Number,Volcano Name,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Latitude,Longitude,Country,Region,Elevation,Evidence Category,Primary Volcano Type
0,210010,West Eifel Volcanic Field,,-8300.0,0.0,0.0,,,,50.17,6.85,Germany,Mediterranean and Western Asia,600,Eruption Dated,Maar(s)
1,210010,West Eifel Volcanic Field,,-8740.0,0.0,0.0,,,,50.17,6.85,Germany,Mediterranean and Western Asia,600,Eruption Dated,Maar(s)
2,210020,Chaine des Puys,,-4040.0,0.0,0.0,,,,45.775,2.97,France,Mediterranean and Western Asia,1464,Eruption Dated,Lava dome(s)
3,210020,Chaine des Puys,,-5760.0,0.0,0.0,,,,45.775,2.97,France,Mediterranean and Western Asia,1464,Eruption Dated,Lava dome(s)
4,210020,Chaine des Puys,,-6020.0,0.0,0.0,,,,45.775,2.97,France,Mediterranean and Western Asia,1464,Eruption Dated,Lava dome(s)
5,210020,Chaine des Puys,,-6250.0,0.0,0.0,,,,45.775,2.97,France,Mediterranean and Western Asia,1464,Eruption Dated,Lava dome(s)
6,210020,Chaine des Puys,,-6550.0,0.0,0.0,,,,45.775,2.97,France,Mediterranean and Western Asia,1464,Eruption Dated,Lava dome(s)
7,210020,Chaine des Puys,,-7020.0,0.0,0.0,,,,45.775,2.97,France,Mediterranean and Western Asia,1464,Eruption Dated,Lava dome(s)
8,210020,Chaine des Puys,,-7740.0,0.0,0.0,,,,45.775,2.97,France,Mediterranean and Western Asia,1464,Eruption Dated,Lava dome(s)
9,210020,Chaine des Puys,,-7840.0,0.0,0.0,,,,45.775,2.97,France,Mediterranean and Western Asia,1464,Eruption Dated,Lava dome(s)
10,210040,Calatrava Volcanic Field,,-3600.0,0.0,0.0,,,,38.87,-4.02,Spain,Mediterranean and Western Asia,1117,Eruption Dated,Pyroclastic cone(s)
11,211001,Larderello,3.0,1282.0,0.0,0.0,,,,43.25,10.87,Italy,Mediterranean and Western Asia,500,Eruption Observed,Explosion crater(s)
12,211003,Vulsini,,-104.0,0.0,0.0,,,,42.6,11.93,Italy,Mediterranean and Western Asia,800,Eruption Observed,Caldera
