Volcano Name,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Country,Region,Latitude,Longitude,Elevation,Primary Volcano Type,Status
Abu,,-6850.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",34.5,131.6,641,Shield(s),Holocene
Acatenango,1.0,1972.0,11.0,12.0,1972.0,12.0,16.0,Guatemala,México and Central America,14.501,-90.876,3976,Stratovolcano(es),Historical
Acatenango,2.0,1926.0,8.0,0.0,1927.0,5.0,19.0,Guatemala,México and Central America,14.501,-90.876,3976,Stratovolcano(es),Historical
Acatenango,3.0,1924.0,12.0,18.0,1925.0,6.0,7.0,Guatemala,México and Central America,14.501,-90.876,3976,Stratovolcano(es),Historical
Acatenango,,1450.0,0.0,0.0,,,,Guatemala,México and Central America,14.501,-90.876,3976,Stratovolcano(es),Historical
Acatenango,,90.0,0.0,0.0,,,,Guatemala,México and Central America,14.501,-90.876,3976,Stratovolcano(es),Historical
Acatenango,,-260.0,0.0,0.0,,,,Guatemala,México and Central America,14.501,-90.876,3976,Stratovolcano(es),Historical
Acatenango,,-370.0,0.0,0.0,,,,Guatemala,México and Central America,14.501,-90.876,3976,Stratovolcano(es),Historical
Acatenango,,-2710.0,0.0,0.0,,,,Guatemala,México and Central America,14.501,-90.876,3976,Stratovolcano(es),Historical
Acigol-Nevsehir,,-2080.0,0.0,0.0,,,,Turkey,Mediterranean and Western Asia,38.537,34.621,1683,Caldera,
Acigol-Nevsehir,,-2370.0,0.0,0.0,,,,Turkey,Mediterranean and Western Asia,38.537,34.621,1683,Caldera,
Acigol-Nevsehir,,-3500.0,0.0,0.0,,,,Turkey,Mediterranean and Western Asia,38.537,34.621,1683,Caldera,
Acigol-Nevsehir,,-6230.0,0.0,0.0,,,,Turkey,Mediterranean and Western Asia,38.537,34.621,1683,Caldera,
Acigol-Nevsehir,,-7810.0,0.0,0.0,,,,Turkey,Mediterranean and Western Asia,38.537,34.621,1683,Caldera,
Adams,2.0,950.0,0.0,0.0,,,,United States,Canada and Western USA,46.206,-121.49,3742,Stratovolcano,Tephrochronology
Adams,2.0,200.0,0.0,0.0,,,,United States,Canada and Western USA,46.206,-121.49,3742,Stratovolcano,Tephrochronology
Adams,2.0,-300.0,0.0,0.0,,,,United States,Canada and Western USA,46.206,-121.49,3742,Stratovolcano,Tephrochronology
Adams,2.0,-400.0,0.0,0.0,,,,United States,Canada and Western USA,46.206,-121.49,3742,Stratovolcano,Tephrochronology
Adams,2.0,-550.0,0.0,0.0,,,,United States,Canada and Western USA,46.206,-121.49,3742,Stratovolcano,Tephrochronology
Adams,1.0,-1850.0,0.0,0.0,,,,United States,Canada and Western USA,46.206,-121.49,3742,Stratovolcano,Tephrochronology
Adams,2.0,-2650.0,0.0,0.0,,,,United States,Canada and Western USA,46.206,-121.49,3742,Stratovolcano,Tephrochronology
Adams,1.0,-2950.0,0.0,0.0,,,,United States,Canada and Western USA,46.206,-121.49,3742,Stratovolcano,Tephrochronology
Adams,2.0,-3250.0,0.0,0.0,,,,United States,Canada and Western USA,46.206,-121.49,3742,Stratovolcano,Tephrochronology
Adams,2.0,-3550.0,0.0,0.0,,,,United States,Canada and Western USA,46.206,-121.49,3742,Stratovolcano,Tephrochronology
Adams,1.0,-3800.0,0.0,0.0,,,,United States,Canada and Western USA,46.206,-121.49,3742,Stratovolcano,Tephrochronology
Adams,2.0,-4050.0,0.0,0.0,,,,United States,Canada and Western USA,46.206,-121.49,3742,Stratovolcano,Tephrochronology
Adams,2.0,-4550.0,0.0,0.0,,,,United States,Canada and Western USA,46.206,-121.49,3742,Stratovolcano,Tephrochronology
Adams,2.0,-5150.0,0.0,0.0,,,,United States,Canada and Western USA,46.206,-121.49,3742,Stratovolcano,Tephrochronology
Adams,2.0,-7050.0,0.0,0.0,,,,United States,Canada and Western USA,46.206,-121.49,3742,Stratovolcano,Tephrochronology
Adams Seamount,0.0,-50.0,0.0,0.0,,,,Undersea Features,Hawaii and Pacific Ocean,-25.37,-129.27,-39,Submarine,
Adams Seamount,0.0,-1050.0,0.0,0.0,,,,Undersea Features,Hawaii and Pacific Ocean,-25.37,-129.27,-39,Submarine,
Adams Seamount,0.0,-4050.0,0.0,0.0,,,,Undersea Features,Hawaii and Pacific Ocean,-25.37,-129.27,-39,Submarine,
Adams Seamount,0.0,-5050.0,0.0,0.0,,,,Undersea Features,Hawaii and Pacific Ocean,-25.37,-129.27,-39,Submarine,
Adatarayama,1.0,1996.0,9.0,1.0,1996.0,9.0,1.0,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,Stratovolcano(es),
Adatarayama,2.0,1900.0,7.0,17.0,1900.0,7.0,17.0,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,Stratovolcano(es),
Adatarayama,2.0,1899.0,8.0,24.0,1899.0,11.0,12.0,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,Stratovolcano(es),
Adatarayama,,950.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,Stratovolcano(es),
Adatarayama,,-50.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,Stratovolcano(es),
Adatarayama,3.0,-590.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,Stratovolcano(es),
Adatarayama,,-1550.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,Stratovolcano(es),
Adatarayama,3.0,-2600.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,Stratovolcano(es),
Adatarayama,3.0,-4300.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,Stratovolcano(es),
Adatarayama,3.0,-6150.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,Stratovolcano(es),
