,Volcano Name,Country,Region,Latitude,Longitude,Elevation,Primary Volcano Type,Status
0,Abu,Japan,Honshu-Japan,34.5,131.6,571.0,Shield volcano,Holocene
1,Acamarachi,Chile,Chile-N,-23.3,-67.62,6046.0,Stratovolcano,Holocene
2,Acatenango,Guatemala,Guatemala,14.501,-90.876,3976.0,Stratovolcano,Historical
3,Acigol-Nevsehir,Turkey,Turkey,38.57,34.52,1689.0,Maar,Holocene
4,Adams,United States,US-Washington,46.206,-121.49,3742.0,Stratovolcano,Tephrochronology
5,Adatara,Japan,Honshu-Japan,37.62,140.28,1718.0,Stratovolcano,Historical
6,Adwa,Ethiopia,Africa-NE,10.07,40.84,1733.0,Stratovolcano,Holocene
7,Afdera,Ethiopia,Africa-NE,13.08,40.85,1295.0,Stratovolcano,Holocene
8,Agmagan-Karadag,Armenia,Armenia,40.275,44.75,3560.0,Volcanic field,Holocene
9,Agrigan,United States,Mariana Is-C Pacific,18.77,145.67,965.0,Stratovolcano,Historical
10,Agua,Guatemala,Guatemala,14.465,-90.743,3760.0,Stratovolcano,Holocene
11,Agua de Pau,Portugal,Azores,37.77,-25.47,947.0,Stratovolcano,Historical
12,Aguilera,Chile,Chile-S,-50.17,-73.83,0.0,Stratovolcano,Radiocarbon
13,Agung,Indonesia,Lesser Sunda Is,-8.342,115.508,3142.0,Stratovolcano,Historical
14,Ahyi,United States,Mariana Is-C Pacific,20.42,145.03,-137.0,Submarine volcano,Uncertain
15,Akademia Nauk,Russia,Kamchatka,53.98,159.45,1180.0,Stratovolcano,Historical
17,Akagi,Japan,Honshu-Japan,36.53,139.18,1828.0,Stratovolcano,Historical
18,Akan,Japan,Hokkaido-Japan,43.38,144.02,1499.0,Caldera,Historical
19,Akhtang,Russia,Kamchatka,55.43,158.65,1956.0,Shield volcano,Holocene
20,Akita-Komaga-take,Japan,Honshu-Japan,39.75,140.8,1637.0,Stratovolcano,Historical
21,Akita-Yake-yama,Japan,Honshu-Japan,39.97,140.77,1366.0,Complex volcano,Historical
22,Akuseki-jima,Japan,Ryukyu Is,29.45,129.6,586.0,Stratovolcano,Holocene
24,Akutan,United States,Aleutian Is,54.13,-165.97,1303.0,Stratovolcano,Historical
25,Alaid,Russia,Kuril Is,50.858000000000004,155.55,2339.0,Stratovolcano,Historical
26,Alamagan,United States,Mariana Is-C Pacific,17.6,145.83,744.0,Stratovolcano,Radiocarbon
27,Alayta,Ethiopia,Africa-NE,12.88,40.57,1501.0,Shield volcano,Historical
28,"Albano, Monte",Italy,Italy,41.73,12.7,949.0,Caldera,Holocene
29,"Alcedo, Volcan",Ecuador,Galapagos,-0.43,-91.12,1130.0,Shield volcano,Historical
30,Ale Bagu,Ethiopia,Africa-NE,13.52,40.63,1031.0,Stratovolcano,Holocene
31,Alid,Eritrea,Africa-NE,14.88,39.92,904.0,Stratovolcano,Holocene
32,Alligator Lake,Canada,Canada,60.42,-135.42,2217.0,Volcanic field,Holocene
33,Almolonga,Guatemala,Guatemala,14.82,-91.48,3197.0,Stratovolcano,Historical
34,Alney-Chashakondzha,Russia,Kamchatka,56.7,159.65,2598.0,Stratovolcano,Holocene
35,Alngey,Russia,Kamchatka,57.7,160.4,1853.0,Stratovolcano,Holocene
36,Alu,Ethiopia,Africa-NE,13.82,40.55,429.0,Fissure vent,Holocene
37,Alutu,Ethiopia,Africa-NE,7.77,38.78,2335.0,Stratovolcano,Holocene
38,Amak,United States,Aleutian Is,55.42,-163.15,513.0,Stratovolcano,Historical
39,Amasing,Indonesia,Halmahera-Indonesia,-0.55,127.5,1030.0,Stratovolcano,Holocene
40,Ambalatungan Group,Philippines,Luzon-Philippines,17.32,121.1,2329.0,Compound volcano,Fumarolic
41,Ambang,Indonesia,Sulawesi-Indonesia,0.75,124.42,1795.0,Complex volcano,Historical
42,Ambitle,Papua New Guinea,New Ireland-SW Pacif,-4.08,153.65,450.0,Stratovolcano,Radiocarbon
43,Amboy,United States,US-California,34.55,-115.78,288.0,Cinder cone,Holocene
44,Ambre-Bobaomby,Madagascar,Madagascar,-12.48,49.1,1475.0,Volcanic field,Holocene
45,Ambrym,Vanuatu,Vanuatu-SW Pacific,-16.25,168.12,1334.0,Pyroclastic shield,Historical
46,Amorong,Philippines,Luzon-Philippines,15.828,120.805,376.0,Unknown,Fumarolic
47,Amsterdam Island,Indian Ocean,Indian O-S,-37.83,77.52,881.0,Stratovolcano,Holocene
48,Amukta,United States,Aleutian Is,52.5,-171.25,1066.0,Stratovolcano,Historical
49,Anatahan,United States,Mariana Is-C Pacific,16.35,145.67,788.0,Stratovolcano,Holocene
50,Anaun,Russia,Kamchatka,56.32,158.83,1828.0,Stratovolcano,Holocene
51,Andahua Valley,Peru,Peru,-15.42,-72.33,4713.0,Cinder cone,Holocene
52,Andrus,Antarctica,Antarctica,-75.8,-132.33,2978.0,Shield volcano,Holocene
53,Aneityum,Vanuatu,Vanuatu-SW Pacific,-20.2,169.83,852.0,Stratovolcano,Holocene
54,Aniakchak,United States,Alaska Peninsula,56.88,-158.17,1341.0,Caldera,Historical
55,Ankaizina Field,Madagascar,Madagascar,-14.3,48.67,2878.0,Cinder cone,Holocene
56,Ankaratra Field,Madagascar,Madagascar,-19.4,47.2,2644.0,Cinder cone,Holocene
57,Antillanca Group,Chile,Chile-C,-40.771,-72.153,1990.0,Stratovolcano,Holocene
58,Antipodes Island,New Zealand,Pacific-S,-49.683,178.767,402.0,Pyroclastic cones,Holocene?
59,Antisana,Ecuador,Ecuador,-0.48100000000000004,-78.141,5753.0,Stratovolcano,Historical
60,Antofagasta de la Sierra,Argentina,Argentina,-26.083000000000002,-67.5,4000.0,Scoria cones,Holocene
62,Antofalla,Argentina,Argentina,-25.53,-68.0,6100.0,Stratovolcano,Holocene
63,Antuco,Chile,Chile-C,-37.406,-71.34899999999999,2979.0,Stratovolcano,Historical
64,Aoba,Vanuatu,Vanuatu-SW Pacific,-15.4,167.83,1496.0,Shield volcano,Historical
65,Aoga-shima,Japan,Izu Is-Japan,32.45,139.77,423.0,Stratovolcano,Historical
66,Apaneca Range,El Salvador,El Salvador,13.890999999999998,-89.786,2036.0,Stratovolcano,Holocene
67,Apastepeque Field,El Salvador,El Salvador,13.72,-88.77,700.0,Volcanic field,Holocene
68,Apo,Philippines,Mindanao-Philippines,6.987,125.273,2954.0,Stratovolcano,Fumarolic
69,Apoyeque,Nicaragua,Nicaragua,12.242,-86.34200000000001,518.0,Pyroclastic shield,Radiocarbon
70,Aracar,Argentina,Argentina,-24.27,-67.77,6082.0,Stratovolcano,Historical
72,Aragats,Armenia,Armenia,40.55,44.12,4090.0,Stratovolcano,Holocene
73,"Aramuaca, Laguna",El Salvador,El Salvador,13.427999999999999,-88.105,180.0,Maar,Holocene
74,Ararat,Turkey,Turkey,39.7,44.28,5165.0,Stratovolcano,Holocene
75,Arayat,Philippines,Luzon-Philippines,15.2,120.742,1026.0,Stratovolcano,Holocene
76,Ardoukoba,Djibouti,Africa-NE,11.58,42.47,298.0,Fissure vent,Historical
77,Arenal,Costa Rica,Costa Rica,10.463,-84.70299999999999,1657.0,Stratovolcano,Historical
78,Arenales,Chile,Chile-S,-47.2,-73.483,3437.0,Stratovolcano,Historical
79,"Arhab, Harra of",Yemen,Arabia-S,15.63,44.08,3100.0,Volcanic field,Historical
80,Arjuno-Welirang,Indonesia,Java,-7.725,112.58,3339.0,Stratovolcano,Historical
81,Arshan,China,China-E,47.5,120.7,,Cinder cones,Radiocarbon
82,Asama,Japan,Honshu-Japan,36.4,138.53,2560.0,Complex volcano,Historical
83,Asavyo,Ethiopia,Africa-NE,13.07,41.6,1200.0,Shield volcano,Holocene
84,Ascension,Atlantic Ocean,Atlantic-S,-7.95,-14.37,858.0,Stratovolcano,Holocene
85,Askja,Iceland,Iceland-NE,65.03,-16.75,1516.0,Stratovolcano,Historical
86,Aso,Japan,Kyushu-Japan,32.88,131.1,1592.0,Caldera,Historical
87,Assab Volc Field,Eritrea,Africa-NE,12.95,42.43,987.0,Volcanic field,Holocene
88,Asuncion,United States,Mariana Is-C Pacific,19.67,145.4,857.0,Stratovolcano,Historical
89,Atacazo,Ecuador,Ecuador,-0.353,-78.617,4463.0,Stratovolcano,Radiocarbon
90,Atakor Volc Field,Algeria,Africa-N,23.333000000000002,5.832999999999999,2918.0,Scoria cones,Holocene
91,Atitlan,Guatemala,Guatemala,14.583,-91.186,3535.0,Stratovolcano,Historical
92,Atka,United States,Aleutian Is,52.38,-174.15,1533.0,Stratovolcano,Historical
93,Atlasova,Russia,Kamchatka,57.97,160.65,1764.0,Shield volcano,Holocene
94,"Atlixcos, Cerro Los",Mexico,Mexico,19.809,-96.52600000000001,800.0,Shield volcano,Holocene
95,Atsonupuri,Russia,Kuril Is,44.803999999999995,147.13,1205.0,Stratovolcano,Historical
96,"Atuel, Caldera del",Argentina,Argentina,-34.65,-70.05,5189.0,Caldera,Holocene
97,Auckland Field,New Zealand,New Zealand,-36.9,174.87,260.0,Volcanic field,Radiocarbon
98,Augustine,United States,Alaska-SW,59.37,-153.42,1252.0,Lava dome,Historical
99,Avachinsky,Russia,Kamchatka,53.255,158.83,2741.0,Stratovolcano,Historical
100,Awu,Indonesia,Sangihe Is-Indonesia,3.67,125.5,1320.0,Stratovolcano,Historical
101,Axial Seamount,Pacific Ocean,Pacific-NE,45.95,-130.0,-1500.0,Submarine volcano,Historical
102,Ayelu,Ethiopia,Africa-NE,10.082,40.702,2145.0,Stratovolcano,Holocene
103,"Azufral, Volcan",Colombia,Colombia,1.08,-77.68,4070.0,Stratovolcano,Radiocarbon
104,"Azul, Cerro",Ecuador,Galapagos,-0.9,-91.42,1690.0,Shield volcano,Historical
105,"Azul, Cerro [Quizapu]",Chile,Chile-C,-35.653,-70.76100000000001,3788.0,Stratovolcano,Historical
106,"Azul, Volcan",Nicaragua,Nicaragua,12.53,-83.87,201.0,Cinder cone,Holocene
107,Azuma,Japan,Honshu-Japan,37.73,140.25,2024.0,Stratovolcano,Historical
108,Babuyan Claro,Philippines,Luzon-N of,19.523,121.94,1180.0,Stratovolcano,Historical
109,Bachelor,United States,US-Oregon,43.979,-121.68799999999999,2763.0,Stratovolcano,Tephrochronology
110,Bagana,Papua New Guinea,Bougainville-SW Paci,-6.14,155.195,1750.0,Lava cone,Historical
111,Bakenin,Russia,Kamchatka,53.905,158.07,2278.0,Stratovolcano,Tephrochronology
112,Baker,United States,US-Washington,48.786,-121.82,3285.0,Stratovolcano,Historical
113,"Bal Haf, Harra of",Yemen,Arabia-S,14.05,48.33,233.0,Volcanic field,Holocene
114,Balatocan,Philippines,Mindanao-Philippines,8.8,124.92,2450.0,Compound volcano,Fumarolic
115,Balbi,Papua New Guinea,Bougainville-SW Paci,-5.83,154.98,2715.0,Stratovolcano,Holocene
