Year,log( CO2 / 277.3 ),Volcanic,Temperature (C),Fit
1753.25,-0.002379651,0.023730281,8.5418081,8.3311167
1753.333333,-0.002382091,0.023054726,8.6178389,8.3311167
1753.416667,-0.002384483,0.022398402,8.4374771,8.3311157
1753.5,-0.002386828,0.021760763,8.1019201,8.3311148
1753.583333,-0.002389123,0.021141277,8.1585722,8.3311138
1753.666667,-0.002391368,0.020539426,8.0286331,8.3311129
1753.75,-0.002393561,0.019954708,7.7760577,8.3311119
1753.833333,-0.002395702,0.019386636,7.9026299,8.331111
1753.916667,-0.002397788,0.018834736,7.9884963,8.33111
1754,-0.00239982,0.018298548,8.0020781,8.331109
1754.083333,-0.002401796,0.017777624,7.9616032,8.331109
1754.166667,-0.002403714,0.017271529,7.9614892,8.3311081
1754.25,-0.002405574,0.016779842,7.9284043,8.3311071
1754.333333,-0.002407374,0.016302153,7.9431477,8.3311052
1754.416667,-0.002409114,0.015838062,8.0213776,8.3311043
1754.5,-0.002410792,0.015387183,8.3312759,8.3311043
1754.583333,-0.002412407,0.01494914,8.1640787,8.3311043
1754.666667,-0.002413957,0.014523567,8.1054592,8.3311033
1754.75,-0.002415443,0.014110109,8.0956869,8.3311033
1754.833333,-0.002416862,0.013708422,8.056159,8.3311024
1754.916667,-0.002418214,0.01331817,8.0026236,8.3311024
1755,-0.002419497,0.012939027,8.0757189,8.3311033
1755.083333,-0.00242071,0.666639528,8.3181343,8.3211966
1755.166667,-0.002421853,1.301730444,8.337203,8.3115721
1755.25,-0.002422923,1.918741555,8.3320847,8.3022223
1755.333333,-0.00242392,2.518187557,8.2367582,8.2931385
1755.416667,-0.002424843,3.100568495,8.2178726,8.2843132
1755.5,-0.00242569,3.666370178,8.0765505,8.2757397
1755.583333,-0.002426461,4.216064585,8.4127169,8.2674103
1755.666667,-0.002427154,4.75011026,8.8761091,8.2593193
1755.75,-0.002427768,5.268952691,8.984581,8.2514572
1755.833333,-0.002428302,5.773024685,8.9030113,8.2438202
1755.916667,-0.002428755,6.262746729,8.8179731,8.2364006
1756,-0.002429125,6.738527336,8.8004026,8.2291937
1756.083333,-0.002429412,6.546694543,8.6204624,8.2320967
1756.166667,-0.002429615,6.360322857,8.5309048,8.2349186
1756.25,-0.002429732,6.179256812,8.5950184,8.2376614
1756.333333,-0.002429762,6.003345365,8.5692511,8.2403259
1756.416667,-0.002429704,5.832441776,8.3871384,8.2429142
1756.5,-0.002429556,5.666403481,8.26544,8.24543
1756.583333,-0.002429319,5.505091973,7.8992476,8.2478743
1756.666667,-0.00242899,5.348372691,7.7236228,8.2502489
1756.75,-0.002428569,5.196114902,7.7062721,8.2525568
1756.833333,-0.002428054,5.048191597,7.7682471,8.2547998
1756.916667,-0.002427444,4.904479382,7.8323693,8.256979
1757,-0.002426738,4.764858374,7.9406114,8.2590971
1757.083333,-0.002425936,4.629212106,8.1798906,8.2611561
1757.166667,-0.002425035,4.497427423,8.3388252,8.2631559
1757.25,-0.002424034,4.369394394,8.4292936,8.2650986
1757.333333,-0.002422933,4.245006218,8.2151728,8.2669888
1757.416667,-0.002421731,4.124159131,8.3691626,8.2688236
1757.5,-0.002420425,4.006752326,8.4081507,8.270607
1757.583333,-0.002419016,3.892687865,8.2947693,8.2723417
1757.666667,-0.002417502,3.781870598,8.0758972,8.2740269
1757.75,-0.002415881,3.674208083,7.9962106,8.2756653
1757.833333,-0.002414154,3.569610511,7.8325696,8.277257
1757.916667,-0.002412317,3.467990629,7.7528057,8.2788038
1758,-0.002410371,3.369263668,7.5521102,8.2803078
1758.083333,-0.002408315,3.273347271,7.248939,8.2817698
1758.166667,-0.002406146,3.180161429,7.1270633,8.2831907
1758.25,-0.002403865,3.089628406,6.8877044,8.2845726
1758.333333,-0.002401469,3.001672683,6.8056412,8.2859154
1758.416667,-0.002398959,2.916220888,6.7601237,8.287221
1758.5,-0.002396331,2.83320174,6.7987142,8.2884903
1758.583333,-0.002393586,2.752545986,7.2042317,8.2897243
1758.666667,-0.002390723,2.674186345,7.4727721,8.2909231
1758.75,-0.00238774,2.598057451,7.5635285,8.2920895
1758.833333,-0.002384635,2.524095799,7.5905747,8.2932243
1758.916667,-0.002381409,2.452239691,7.5488114,8.2943268
1759,-0.002378059,2.382429187,7.5940585,8.2953997
1759.083333,-0.002374585,2.314606053,7.6691623,8.296442
1759.166667,-0.002370986,2.248713711,7.8073387,8.2974558
1759.25,-0.002367259,2.184697197,7.9766183,8.2984419
1759.333333,-0.002363406,2.122503109,8.3126984,8.2994013
1759.416667,-0.002359423,2.062079565,8.2136078,8.300334
1759.5,-0.00235531,2.003376163,7.9358292,8.3012419
1759.583333,-0.002351066,1.946343933,7.4993281,8.302124
1759.666667,-0.002346689,1.890935299,7.3900552,8.3029833
1759.75,-0.002342179,1.837104042,7.2154613,8.3038187
1759.833333,-0.002337535,1.784805256,7.2288785,8.3046322
1759.916667,-0.002332755,1.733995315,7.2844033,8.3054228
1760,-0.002327838,1.684631834,7.1863456,8.3061924
1760.083333,-0.002322783,1.636673636,7.2536569,8.306942
1760.166667,-0.002317588,1.590080714,7.1575456,8.3076706
1760.25,-0.002312254,1.544814203,7.1467633,8.3083801
1760.333333,-0.002306778,1.500836341,7.0400701,8.3090706
1760.416667,-0.00230116,1.458110444,7.1623483,8.3097429
1760.5,-0.002295398,1.41660087,7.5238624,8.3103971
1760.583333,-0.002289491,1.376272993,7.7146277,8.3110342
1760.666667,-0.002283438,1.337093173,7.7257409,8.311655
1760.75,-0.002277238,1.299028726,8.068634,8.3122587
1760.833333,-0.00227089,1.262047899,8.0900278,8.3128471
1760.916667,-0.002264392,1.226119845,8.2649794,8.3134203
1761,-0.002257744,1.191214594,8.568428,8.3139782
1761.083333,-0.002250945,2.218319355,8.7265863,8.2984524
1761.166667,-0.002243992,3.216184438,8.8499517,8.28337
1761.25,-0.002236886,4.185642239,8.898304,8.2687178
1761.333333,-0.002229625,5.127501458,8.886075,8.2544851
1761.416667,-0.002222207,6.042547774,8.8932867,8.2406588
1761.5,-0.002214633,6.931544497,8.5721331,8.2272272
1761.583333,-0.0022069,7.795233209,8.916564,8.21418
1761.666667,-0.002199007,8.63433438,8.9610586,8.2015066
1761.75,-0.002190954,9.44954797,8.6518354,8.1891956
1761.833333,-0.002182738,10.24155401,8.8053389,8.1772366
1761.916667,-0.00217436,11.01101318,8.6776524,8.1656199
1762,-0.002165818,11.75856734,8.4787397,8.154335
1762.083333,-0.002157111,11.42382375,8.256197,8.1594448
1762.166667,-0.002148237,11.09860966,8.1813765,8.1644096
1762.25,-0.002139195,10.78265379,8.0155687,8.1692352
1762.333333,-0.002129986,10.47569257,7.8999538,8.1739264
1762.416667,-0.002120606,10.17746993,7.9493203,8.1784849
1762.5,-0.002111055,9.887737121,8.2157793,8.1829157
1762.583333,-0.002101333,9.606252438,7.8307147,8.1872225
1762.666667,-0.002091437,9.332781079,7.7036853,8.1914082
1762.75,-0.002081367,9.067094918,7.6491122,8.1954775
1762.833333,-0.002071122,8.808972326,7.4604263,8.1994324
1762.916667,-0.0020607,8.558197983,7.3744054,8.2032776
1763,-0.0020501,8.3145627,7.2643447,8.207016
1763.083333,-0.002039321,8.077863239,7.3155346,8.2106485
1763.166667,-0.002028363,7.847902153,7.326695,8.2141809
1763.25,-0.002017224,7.624487613,7.3483634,8.2176142
1763.333333,-0.002005902,7.407433251,7.4628577,8.220952
1763.416667,-0.001994397,7.196558005,7.3835149,8.2241974
1763.5,-0.001982707,6.991685969,7.5232482,8.2273521
1763.583333,-0.001970832,6.792646241,7.7461724,8.2304201
1763.666667,-0.001958771,6.599272788,7.9839587,8.2334023
1763.75,-0.001946521,6.411404302,8.1711645,8.2363033
1763.833333,-0.001934082,6.228884067,8.2003489,8.2391233
1763.916667,-0.001921454,6.051559829,8.3388815,8.2418652
1764,-0.001908634,5.879283668,8.3948975,8.2445316
1764.083333,-0.001895621,5.711911874,8.4486609,8.2471247
1764.166667,-0.001882415,5.549304831,8.4478598,8.2496471
1764.25,-0.001869015,5.391326894,8.5020475,8.2521
1764.333333,-0.001855418,5.237846283,8.6994123,8.2544842
1764.416667,-0.001841625,5.088734967,8.7760649,8.2568054
1764.5,-0.001827634,4.94386856,8.8374176,8.2590618
1764.583333,-0.001813444,4.803126219,8.8516626,8.2612572
1764.666667,-0.001799053,4.666390539,8.5824289,8.2633915
1764.75,-0.001784461,4.533547459,8.7249336,8.2654696
1764.833333,-0.001769667,4.404486163,8.8634148,8.2674904
1764.916667,-0.001754668,4.279098992,8.8130674,8.2694559
1765,-0.001739465,4.15728135,8.8113003,8.2713699
1765.083333,-0.001724056,4.03893162,8.7120609,8.2732306
1765.166667,-0.001708441,3.923951077,8.7629576,8.2750416
1765.25,-0.001692616,3.812243807,8.8068619,8.2768049
1765.333333,-0.001676583,3.703716626,8.7565908,8.2785196
1765.416667,-0.001660339,3.598279003,8.7961674,8.2801895
1765.5,-0.001643884,3.495842984,8.6372499,8.2818146
1765.583333,-0.001627216,3.39632312,8.3308706,8.2833958
1765.666667,-0.001610334,3.299636394,8.389533,8.284936
1765.75,-0.001593237,3.205702151,8.311533,8.2864351
1765.833333,-0.001575924,3.114442034,8.322217,8.2878942
1765.916667,-0.001558394,3.025779914,8.3935671,8.2893162
1766,-0.001540646,2.939641834,8.5811386,8.2907
1766.083333,-0.001522678,2.855955937,8.6791964,8.2920475
1766.166667,-0.00150449,2.774652415,8.7375917,8.2933598
1766.25,-0.00148608,2.695663447,8.8371706,8.2946386
1766.333333,-0.001467447,2.618923141,8.8440847,8.2958841
1766.416667,-0.00144859,2.544367483,8.9539366,8.2970982
1766.5,-0.001429508,2.47193428,8.9141083,8.2982798
1766.583333,-0.0014102,2.40156311,8.7875557,8.2994328
1766.666667,-0.001390665,2.33319527,8.7988815,8.3005552
1766.75,-0.001370901,2.266773729,8.8128386,8.3016491
1766.833333,-0.001350908,2.202243082,8.6058159,8.3027153
1766.916667,-0.001330684,2.139549496,8.5022821,8.3037558
1767,-0.001310229,2.078640675,8.3643599,8.3047695
1767.083333,-0.00128954,2.01946581,8.3337975,8.3057585
1767.166667,-0.001268617,1.961975538,8.4050865,8.3067226
1767.25,-0.00124746,1.906121903,8.3890047,8.307663
1767.333333,-0.001226065,1.851858313,8.4098177,8.3085804
