,Volcano Name,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Country,Region,Latitude,Longitude,Elevation,Primary Volcano Type,Status
0,Erebus,2.0,1972.0,12.0,16.0,2018.0,2.0,7.0,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
1,Erebus,1.0,1972.0,1.0,3.0,,,,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
2,Erebus,0.0,1963.0,11.0,16.0,,,,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
3,Erebus,2.0,1955.0,7.0,2.0,,,,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
4,Erebus,2.0,1947.0,2.0,0.0,,,,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
5,Erebus,2.0,1915.0,8.0,0.0,,,,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
6,Erebus,2.0,1915.0,3.0,22.0,,,,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
7,Erebus,2.0,1912.0,12.0,12.0,,,,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
8,Erebus,2.0,1911.0,10.0,0.0,,,,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
9,Erebus,2.0,1911.0,4.0,0.0,1911.0,6.0,0.0,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
10,Erebus,2.0,1908.0,3.0,0.0,1908.0,11.0,0.0,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
11,Erebus,0.0,1903.0,1.0,1.0,,,,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
12,Erebus,1.0,1841.0,1.0,28.0,1841.0,2.0,0.0,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
13,Erebus,0.0,950.0,0.0,0.0,,,,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
14,Erebus,0.0,-2050.0,0.0,0.0,,,,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
15,Erebus,0.0,-2950.0,0.0,0.0,,,,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
16,Erebus,0.0,-4050.0,0.0,0.0,,,,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
17,Erebus,0.0,-4550.0,0.0,0.0,,,,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
18,Erebus,0.0,-7050.0,0.0,0.0,,,,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
19,Erebus,0.0,-8050.0,0.0,0.0,,,,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical
20,Takahe,,-5550.0,0.0,0.0,,,,Antarctica,Antarctica,-76.28,-112.08,3460,Shield,Ice Core
21,Takahe,,-6250.0,0.0,0.0,,,,Antarctica,Antarctica,-76.28,-112.08,3460,Shield,Ice Core
22,Takahe,,-7050.0,0.0,0.0,,,,Antarctica,Antarctica,-76.28,-112.08,3460,Shield,Ice Core
23,Berlin,0.0,-8350.0,0.0,0.0,,,,Antarctica,Antarctica,-76.05,-136.0,3478,Shield(s),Fumarolic
24,Melbourne,,1892.0,0.0,0.0,,,,Antarctica,Antarctica,-74.35,164.7,2732,Stratovolcano,Tephrochronology
25,Hudson Mountains,4.0,-210.0,0.0,0.0,,,,Antarctica,Antarctica,-74.33,-99.42,749,Stratovolcano(es),Uncertain
26,"Pleiades, The",,-1050.0,0.0,0.0,,,,Antarctica,Antarctica,-72.67,165.5,3040,Stratovolcano,K-Ar
27,Buckle Island,2.0,1899.0,1.0,12.0,,,,Antarctica,Antarctica,-66.78,163.25,1239,Stratovolcano,
28,Buckle Island,2.0,1839.0,2.0,9.0,,,,Antarctica,Antarctica,-66.78,163.25,1239,Stratovolcano,
