,Year,temp,Fit
0,1753.25,8.5418081,8.3311167
1,1753.333333,8.6178389,8.3311167
2,1753.416667,8.4374771,8.3311157
3,1753.5,8.1019201,8.3311148
4,1753.583333,8.1585722,8.3311138
5,1753.666667,8.0286331,8.3311129
6,1753.75,7.7760577,8.3311119
7,1753.833333,7.9026299,8.331111
8,1753.916667,7.9884963,8.33111
9,1754,8.0020781,8.331109
10,1754.083333,7.9616032,8.331109
11,1754.166667,7.9614892,8.3311081
12,1754.25,7.9284043,8.3311071
13,1754.333333,7.9431477,8.3311052
14,1754.416667,8.0213776,8.3311043
15,1754.5,8.3312759,8.3311043
16,1754.583333,8.1640787,8.3311043
17,1754.666667,8.1054592,8.3311033
18,1754.75,8.0956869,8.3311033
19,1754.833333,8.056159,8.3311024
20,1754.916667,8.0026236,8.3311024
21,1755,8.0757189,8.3311033
22,1755.083333,8.3181343,8.3211966
23,1755.166667,8.337203,8.3115721
24,1755.25,8.3320847,8.3022223
25,1755.333333,8.2367582,8.2931385
26,1755.416667,8.2178726,8.2843132
27,1755.5,8.0765505,8.2757397
28,1755.583333,8.4127169,8.2674103
29,1755.666667,8.8761091,8.2593193
30,1755.75,8.984581,8.2514572
31,1755.833333,8.9030113,8.2438202
32,1755.916667,8.8179731,8.2364006
33,1756,8.8004026,8.2291937
34,1756.083333,8.6204624,8.2320967
35,1756.166667,8.5309048,8.2349186
36,1756.25,8.5950184,8.2376614
37,1756.333333,8.5692511,8.2403259
38,1756.416667,8.3871384,8.2429142
39,1756.5,8.26544,8.24543
40,1756.583333,7.8992476,8.2478743
41,1756.666667,7.7236228,8.2502489
42,1756.75,7.7062721,8.2525568
43,1756.833333,7.7682471,8.2547998
44,1756.916667,7.8323693,8.256979
45,1757,7.9406114,8.2590971
46,1757.083333,8.1798906,8.2611561
47,1757.166667,8.3388252,8.2631559
48,1757.25,8.4292936,8.2650986
49,1757.333333,8.2151728,8.2669888
50,1757.416667,8.3691626,8.2688236
51,1757.5,8.4081507,8.270607
52,1757.583333,8.2947693,8.2723417
53,1757.666667,8.0758972,8.2740269
54,1757.75,7.9962106,8.2756653
55,1757.833333,7.8325696,8.277257
56,1757.916667,7.7528057,8.2788038
57,1758,7.5521102,8.2803078
58,1758.083333,7.248939,8.2817698
59,1758.166667,7.1270633,8.2831907
60,1758.25,6.8877044,8.2845726
61,1758.333333,6.8056412,8.2859154
62,1758.416667,6.7601237,8.287221
