,start_year,eruptions
0,-10450.0,1.0
1,-10060.0,1.0
2,-9950.0,1.0
3,-9850.0,3.0
4,-9700.0,1.0
5,-9650.0,2.0
6,-9540.0,1.0
7,-9520.0,1.0
8,-9500.0,2.0
9,-9490.0,1.0
10,-9460.0,1.0
11,-9450.0,3.0
12,-9360.0,1.0
13,-9350.0,1.0
14,-9310.0,1.0
15,-9280.0,1.0
16,-9240.0,2.0
17,-9210.0,2.0
18,-9160.0,1.0
19,-9050.0,1.0
20,-9000.0,1.0
21,-8910.0,1.0
22,-8800.0,1.0
23,-8780.0,1.0
24,-8750.0,1.0
25,-8740.0,1.0
26,-8720.0,1.0
27,-8710.0,1.0
28,-8670.0,1.0
29,-8600.0,1.0
30,-8560.0,1.0
31,-8550.0,1.0
32,-8540.0,1.0
33,-8500.0,4.0
34,-8480.0,1.0
35,-8460.0,2.0
36,-8450.0,2.0
37,-8400.0,2.0
38,-8350.0,3.0
39,-8320.0,1.0
40,-8300.0,2.0
41,-8290.0,1.0
42,-8250.0,5.0
43,-8232.0,1.0
44,-8230.0,2.0
45,-8210.0,2.0
46,-8200.0,2.0
47,-8169.0,1.0
48,-8154.0,1.0
49,-8130.0,1.0
50,-8103.0,1.0
51,-8100.0,2.0
52,-8098.0,1.0
53,-8060.0,2.0
54,-8050.0,23.0
55,-8040.0,2.0
56,-8031.0,1.0
57,-8026.0,1.0
58,-8020.0,2.0
59,-8010.0,1.0
60,-8000.0,1.0
61,-7990.0,1.0
62,-7980.0,1.0
63,-7978.0,1.0
64,-7953.0,1.0
65,-7950.0,3.0
66,-7943.0,1.0
67,-7930.0,2.0
68,-7920.0,1.0
69,-7900.0,3.0
70,-7870.0,1.0
71,-7850.0,7.0
72,-7840.0,2.0
73,-7837.0,1.0
74,-7820.0,1.0
75,-7810.0,1.0
76,-7800.0,3.0
77,-7769.0,1.0
78,-7750.0,9.0
79,-7740.0,2.0
80,-7728.0,1.0
81,-7710.0,1.0
82,-7700.0,2.0
83,-7690.0,2.0
84,-7683.0,1.0
85,-7650.0,4.0
86,-7630.0,1.0
87,-7629.0,1.0
88,-7627.0,1.0
89,-7620.0,2.0
90,-7600.0,4.0
91,-7590.0,2.0
92,-7579.0,1.0
93,-7570.0,1.0
94,-7560.0,1.0
95,-7550.0,19.0
96,-7540.0,1.0
97,-7530.0,2.0
